governo	governo/governação/administração/governo/governação/administração
mandato	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/política/ciência_política
comissão	forças_armadas/exército/máquina_de_guerra
cargo	governo/governação/administração
militar	forças_armadas/exército/máquina_de_guerra
josé	novo_testamento/novo_testamento/antigo_testamento/antigo_testamento
voto	lei/jurisprudência/ciências_jurídicas
pleito	lei/jurisprudência/ciências_jurídicas
poder	governo/governação/administração
general	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
política	política/ciência_política/governo/governação/administração
empresa	industria/comércio/negócio/empresa
vez	jogo
direito	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
carlos	ato_terrorista/terrorismo
campanha	forças_armadas/exército/máquina_de_guerra
função	ciência_exacta/matematica/matemática/ciências_exactas
regime	governo/governação/administração
processo	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
posse	esporte
sem	antigo_testamento/antigo_testamento
força	ciências_físicas/fisica/física/física
parte	lei/jurisprudência/ciências_jurídicas/música/industria/comércio/negócio/empresa
constituinte	lei/jurisprudência/ciências_jurídicas/gramática
programa	informática/ciência_da_computação/informática/ciência_da_computação
órgão	música
cadeira	arte_dramatica/dramaturgia/teatro/aeroplano/avião
oficial	forças_armadas/exército/máquina_de_guerra
lei	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
administração	industria/comércio/negócio/empresa
costa	rio/oceano/lago
tribunal	lei/jurisprudência/ciências_jurídicas
sistema	físico-química
constituição	lei/jurisprudência/ciências_jurídicas
relação	antropologia/antropologia
comando	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
tempo	meteorologia/meteorologia/jogo
ato	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
recurso	lei/jurisprudência/ciências_jurídicas
exército	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
justiça	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/legislação/legislação
indústria	indústria/manufatura
guerra	forças_armadas/exército/máquina_de_guerra/guerra
serviço	ténis/tênis/badmínton/badminton/squash/squash
gestão	industria/comércio/negócio/empresa
posição	forças_armadas/exército/máquina_de_guerra/esporte
lado	humano/ser_humano/besta/criatura/ser/bicho/animal
vitória	mitologia_romana/mitologia_romana/mitologia_romana/mitologia_romana
meio	bacteriologia
turno	beisebol/basebol/jogo
plano	ciência_exacta/matematica/matemática/ciências_exactas
época	astronomia/astronomia
educação	pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução/pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução
diretório	informática/ciência_da_computação
maioria	eleição
defesa	forças_armadas/exército/máquina_de_guerra
companhia	forças_armadas/exército/máquina_de_guerra
comandante	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
ordem	forças_armadas/exército/máquina_de_guerra/biologia/ciências_da_vida
energia	ciências_físicas/fisica/física/física
artigo	contrato/acordo/gramática
branco	xadrez/jogo_de_xadrez/jogo_de_damas/damas/jogo_de_damas
formação	geologia
técnico	esporte
luta	forças_armadas/exército/máquina_de_guerra/forças_armadas/exército/máquina_de_guerra
coronel	forças_armadas/exército/máquina_de_guerra
monopólio	economia
abertura	xadrez/jogo_de_xadrez
família	biologia/ciências_da_vida
cultura	arqueologia/arqueologia/biologia/ciências_da_vida
lugar	arte_dramatica/dramaturgia/teatro/aeroplano/avião
produção	economia
operação	forças_armadas/exército/máquina_de_guerra/informática/ciência_da_computação/cirurgia/ciência_exacta/matematica/matemática/ciências_exactas
classe	forças_armadas/exército/máquina_de_guerra/biologia/ciências_da_vida/biologia/ciências_da_vida
ponto	mitologia_grega/mitologia_grega
legislação	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/legislação
ensino	pedagogia/ensino/formação/educação/didáctica/ensinamento/instrução
advogado	lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas/lei/jurisprudência/ciências_jurídicas
discurso	música/linguagem/discurso/idioma/língua/arte
crime	direito_criminal/direito_penal
irmão	igreja_católica/igreja_católica_romana/crença_religiosa/fé/religião
sucessão	ciências_do_ambiente/ecologia/ecologia
manifesto	governo/governação/administração
assistência	basquete/basquetebol/bola-ao-cesto/basquetebol/beisebol/basebol/hóquei/hóquei/hóquei_no_gelo
terra	electricidade/eletricidade
